Handle,Title,Body (HTML),Vendor,Product Category,Type,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Status
dragons-bags-horse-brown-tote-bag,Horse brown tote bag,"<ul>
<li class='measurements'>
<strong>Width:</strong> 16 inches</li>
<li class='measurements'>
<strong>Height:</strong> 11 inches</li>
<li class='measurements'>
<strong>Depth:</strong> 5.5 inches</li>
</ul>
<ul>
<li class='additional-details'>One main compartment with magnetic closure and one pocket with zipper inside.</li>
</ul>
<ul>
<li class='material'>
<strong>Material: </strong>Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,DCT-04,269.51,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-horse-brown-tote-bag-front.jpg?v=1754888670,active
dragons-bags-horse-brown-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-horse-brown-tote-bag-closeup.jpg?v=1754888670,
dragons-bags-horse-brown-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-horse-brown-tote-bag-bottom.jpg?v=1754888670,
dragons-bags-horse-brown-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-horse-brown-tote-bag-inside.jpg?v=1754888670,
dragons-bags-horse-brown-over-the-shoulder-tote-bag,Horse brown over the shoulder tote bag,"<ul> <li class='measurements'>
<b>Width:</b> 14 inches</li> <li class='measurements'>
<b>Height:</b> 11.5 inches</li> <li class='measurements'>
<b>Depth:</b> 6 inches</li> </ul> <ul> <li class='additional-details'>One main zipper compartment.</li> <li class='additional-details'>One inside zipper pocket.</li> </ul> <ul> <li class='material'>
<b>Material: </b>Faux leather.</li> </ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,DHB-05,272.02,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/horse-brown-quarter-over-the-shoulder-tote-bag-scaled.jpg?v=1616109332,active
dragons-bags-horse-brown-over-the-shoulder-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/horse-brown-quarter-over-the-shoulder-tote-bag-MODEL.jpg?v=1619680996,
dragons-bags-horse-brown-over-the-shoulder-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/horse-brown-front-over-the-shoulder-tote-bag-scaled.jpg?v=1678179997,
dragons-bags-horse-brown-over-the-shoulder-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/horse-brown-back-over-the-shoulder-tote-bag-scaled.jpg?v=1678179997,
dragons-bags-horse-brown-over-the-shoulder-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/horse-brown-side-over-the-shoulder-tote-bag.jpg?v=1678179997,
dragons-bags-horse-brown-over-the-shoulder-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/horse-brown-base-over-the-shoulder-tote-bag.jpg?v=1678179997,
dragons-bags-horse-brown-over-the-shoulder-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/horse-brown-inside-over-the-shoulder-tote-bag.jpg?v=1678179997,
dragons-bags-horse-brown-over-the-shoulder-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/horse-brown-model-over-the-shoulder-tote-bag.jpg?v=1678179997,
dragons-bags-brown-double-handle-tote-bag,Brown double-handle tote bag,"<ul>    <li class='measurements'>
<b>Width:</b> 15 inches(top) and 13 inches(bottom)</li>    <li class='measurements'>
<b>Height:</b> 13 inches</li>    <li class='measurements'>
<b>Depth:</b> 4 inches</li> </ul> <ul>    <li class='additional-details'>One main zipper compartment.</li>    <li class='additional-details'>One front slide pocket.</li>    <li class='additional-details'>Long and short handles for either carrying it as a handbag or over the shoulder.</li> </ul> <ul>    <li class='material'>
<b>Material: </b>Faux leather.</li> </ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,TBH-05,269.04,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-brown-double-handle-tote-bag-quater_687c6a86-0642-423e-9b34-13b3e4c940dc.jpg?v=1756193804,active
dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-brown-double-handle-tote-bag-front_5726f25d-87f5-458f-932c-737c664dbdd6.jpg?v=1756193804,
dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-brown-double-handle-tote-bag-quater-2_2ee8ce75-68c8-4db9-a602-7445b9c90e24.jpg?v=1756193625,
dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-brown-double-handle-tote-bag-back_201d98fa-9425-4a14-a3b5-7e70628c3025.jpg?v=1756193625,
dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-brown-double-handle-tote-bag-side.jpg?v=1756193625,
dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/dragons-bags-brown-double-handle-tote-bag-inside.jpg?v=1756193625,
off-white-elongated-chain-handle-purse,Off-white elongated chain handle purse,"<ul>
        <li class='measurements'>
                <b>Width:</b> 11.5 inches
        </li>
        <li class='measurements'>
                <b>Height:</b> 6 inches
        </li>
        <li class='measurements'>
                <b>Depth:</b> 2.5 inches
        </li>
</ul>
<ul>
<li class='additional-details'>One main zipper compartment.</li>
</ul>
<ul>
<li class='additional-details'>Shoulder strap.</li>
<br>
<li>
<strong>Material</strong>: Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,ECP-07,292.89,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-elongated-chain-handle-purse-quater.jpg?v=1685686630,active
off-white-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-elongated-chain-handle-purse-model-closeup.jpg?v=1686121706,
off-white-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-elongated-chain-handle-purse-main.jpg?v=1688731680,
off-white-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-elongated-chain-handle-purse-closeup.jpg?v=1688731680,
off-white-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-elongated-chain-handle-purse-bottom.jpg?v=1688731680,
off-white-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-elongated-chain-handle-purse-inside.jpg?v=1688731680,
off-white-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-elongated-chain-handle-purse-model.jpg?v=1688731680,
black-tote-bag,Black tote bag,"<ul>
<li class='measurements'>
<strong>Width:</strong> 16 inches</li>
<li class='measurements'>
<strong>Height:</strong> 11 inches</li>
<li class='measurements'>
<strong>Depth:</strong> 5.5 inches</li>
</ul>
<ul>
<li class='additional-details'>One main compartment with magnetic closure and one pocket with zipper inside.</li>
</ul>
<ul>
<li class='material'>
<strong>Material: </strong>Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,DCT-05,282.8,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-tote-bag-front.jpg?v=1754888679,active
black-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-tote-bag-closeup.jpg?v=1754888679,
black-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-tote-bag-bottom.jpg?v=1754888679,
black-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-tote-bag-inside.jpg?v=1754888679,
